,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
854, 2020 Hyundai Tucson SE,"33,955","Centennial, CO 80112",4.6, Gasoline,23,28, AWD, Regular Unleaded I-4 2.0 L/122, Winter White, Gray, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$19,599"
855,Certified 2019 Subaru Ascent Limited 7-Passenger,"42,618","Centennial, CO 80112",4.5, Gasoline,-1,-1, AWD, Intercooled Turbo Regular Unleaded H-4 2.4 L/146, Crystal Black Silica, Slate Black, Variable,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$31,399"
856, 2018 Mercedes-Benz GLS 450 Base 4MATIC,"43,408","Littleton, CO 80122",4.9, Gasoline,17,22, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Black, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$49,999"
857,Certified 2016 RAM 1500 Rebel,"68,974","Centennial, CO 80112",4.6, Gasoline,16,23, 4WD, Regular Unleaded V-8 5.7 L/345, Bright Silver Metallic Clearcoat, Red/Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$33,999"
858, 2018 Jeep Grand Cherokee Limited,"35,993","Centennial, CO 80111",4.6, Gasoline,18,25, 4WD, 3.6L V6 24V MPFI DOHC, Bright White Clearcoat, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$28,489"
859, 2017 Buick Encore Essence,"18,059","Centennial, CO 80111",4.6, Gasoline,24,30, AWD, 1.4L I4 16V MPFI DOHC Turbo, Ebony Twilight Metallic, Ebony, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$19,989"
860, 2019 Lexus NX 300 F Sport,"18,608","Centennial, CO 80112",4.2, Gasoline,22,27, AWD, 2.0L I4 16V PDI DOHC Turbo, Eminent White Pearl, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$35,450"
861, 2017 GMC Acadia SLT-1,"69,623","Littleton, CO 80129",4.2, Gasoline,18,25, AWD, 3.6L V6 24V GDI DOHC, Summit White, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,584"
862, 2013 Honda Accord Touring,"51,016","Littleton, CO 80122",4.4, Gasoline,21,34, FWD, Gas V6 3.5L/212, Crystal Black Pearl, Black, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$17,544"
863, 2019 Honda Odyssey EX-L,"30,240","Centennial, CO 80112",4.2, Gasoline,19,28, FWD, 3.5L V6 24V GDI SOHC, White Diamond Pearl, Mocha, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$31,950"
864, 2014 Jeep Grand Cherokee Limited,"105,865","Englewood, CO 80112",4.1, E85 Flex Fuel,17,24, 4WD, 3.6L V6 24V MPFI DOHC Flexible Fuel, Deep Cherry Red Crystal Pearlcoat,-1, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$18,089"
865, 2019 Jeep Cherokee Limited,"27,976","Centennial, CO 80111",4.6, Gasoline,19,27, 4WD, 3.2L V6 24V MPFI DOHC, Diamond Black, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$24,329"
866, 2018 Hyundai Tucson SEL,"31,229","Centennial, CO 80111",4.6, Gasoline,21,26, AWD, 2.0L I4 16V GDI DOHC, Coliseum Gray, Gray, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$18,239"
867, 2017 Dodge Grand Caravan R/T,"95,138","Littleton, CO 80122",4.4, Gasoline,-1,-1, FWD, Regular Unleaded V-6 3.6 L/220, Granite Pearlcoat, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$13,999"
868, 2012 Ford Flex,"84,569","Highlands Ranch, CO 80129",4.7, Gasoline,16,22, AWD, 3.5L V6 24V GDI DOHC Twin Turbo, Black,-1, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$13,000"
869, 2018 Nissan Rogue SV,"28,683","Centennial, CO 80111",4.6, Gasoline,25,32, AWD, 2.5L I4 16V MPFI DOHC, Glacier White, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$18,999"
