,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
602, 2020 RAM 2500 Big Horn,"23,008","Puyallup, WA 98371",4.9, Diesel,-1,-1, 4WD, 6.7L I6 24V DDI OHV Turbo Diesel, White, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$59,999"
603, 2018 Toyota Tacoma TRD Off Road,"19,216","Puyallup, WA 98371",4.9, Gasoline,17,20, 4WD, 3.5L V6 24V PDI DOHC, Orange, Gray, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$39,999"
604, 2017 GMC Yukon Denali,"66,250","Puyallup, WA 98371",4.9, Gasoline,15,21, 4WD, 6.2L V8 16V GDI OHV, Black, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$46,999"
605, 2019 GMC Yukon XL SLT,"23,133","Puyallup, WA 98371",4.9, Gasoline,14,21, 4WD, 5.3L V8 16V GDI OHV, Black, Black, Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$54,999"
606, 2012 Lexus ES 350 Base,"98,151","Puyallup, WA 98371",4, Gasoline,19,28, FWD, 3.5L V6 24V MPFI DOHC, Black, Saddle Tan, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$13,613"
607, 2017 GMC Yukon Denali,"64,890","Puyallup, WA 98371",4.9, Gasoline,15,21, 4WD, 6.2L V8 16V GDI OHV, Black, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$49,999"
608, 2019 Ford F-150 Lariat,"33,739","Puyallup, WA 98371",4.9, Gasoline,19,24, 4WD, 5.0L V8 32V PDI DOHC, Gray, Beige, 10-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$53,999"
609, 2018 Mazda CX-3 Grand Touring,"35,191","Puyallup, WA 98371",4.8, Gasoline,27,32, AWD, 2.0L I4 24V, Eternal Blue Mica, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$21,789"
610, 2014 Honda Accord EX-L,"68,223","Federal Way, WA 98003",4.8, Gasoline,27,36, FWD, 2.4L I4 16V GDI DOHC, Crystal Black Pearl, Black, Automatic CVT,['Bluetooth'],"['Brake Assist', 'Stability Control', 'Lane Departure Warning']","$18,991"
611, 2018 Lexus NX 300 Base,"36,658","Sumner, WA 98390",4.8, Gasoline,22,28, FWD, 2.0L I4 16V PDI DOHC Turbo, Ultra White, Cream, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$28,888"
612, 2018 Dodge Challenger R/T 392,"14,083","Sumner, WA 98390",4.8, Gasoline,14,23, RWD, 6.4L V8 16V MPFI OHV, White Knuckle Clearcoat, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$42,444"
613, 2016 Honda Accord EX-L,"61,746","Auburn, WA 98001",5, Gasoline,26,35, FWD, 2.4L I4 16V GDI DOHC, White, Ivory, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$19,050"
614, 2018 Jeep Grand Cherokee Limited,"58,056","Auburn, WA 98002",4.4, Gasoline,18,25, 4WD, 5.7L V8 16V MPFI OHV, True Blue Pearl, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$31,687"
615, 2019 Kia Forte LXS,"4,763","Auburn, WA 98002",4.6, Gasoline,30,40, FWD, 2.0L I4 16V MPFI DOHC, Aurora Black Pearl, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$16,950"
616, 2017 Mercedes-Benz CLA 250 Base,"33,793","Auburn, WA 98001",5, E85 Flex Fuel,24,36, FWD, 2.0L I4 16V GDI DOHC Turbo Flexible Fuel, White, Beige, 7-Speed Automatic with Auto-Shift,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$25,200"
