,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
326,Certified 2018 Land Rover Range Rover Velar P250 S,"40,242","Willow Grove, PA 19090",4.8, Gasoline,21,27, 4WD, 2.0L I4 16V GDI DOHC Turbo, Narvik Black, Ebony, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$43,990"
327, 2016 Chevrolet Tahoe LT,"113,268","Willow Grove, PA 19090",4.5, E85 Flex Fuel,16,23, 4WD, Gas/Ethanol V8 5.3L/325, Summit White, Jet Black, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$26,998"
328,Certified 2017 INFINITI QX60 Base,"24,629","Willow Grove, PA 19090",4.5, Gasoline,19,26, AWD, Premium Unleaded V-6 3.5 L/213, Majestic White, Graphite, Variable,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$31,998"
329,Certified 2018 BMW 340 i xDrive,"22,629","Devon, PA 19333",4.9, Gasoline,21,31, AWD, 3.0L I6 24V GDI DOHC Turbo, Mineral Gray Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$37,991"
330, 2007 Saab 9-3 2.0T,"105,305","Hatboro, PA 19040",3.3, Gasoline,20,29, FWD, 2.0L 4 Cylinder Engine, Gray Metalllic, Black, Automatic,-1,-1,"$4,095"
331, 2018 Volkswagen Tiguan 2.0T SE,"35,942","Feasterville, PA 19053",4.4, Gasoline,21,27, AWD, 2.0L I4, White Silver Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Rear Cross Traffic Alert']","$21,990"
332, 2018 Honda CR-V EX-L,"24,623","Sewell, NJ 08080",4.8, Gasoline,27,33, AWD, 1.5L I4 16V GDI DOHC Turbo, White,-1, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$26,995"
333, 2014 Ford Fiesta SE,"90,977","Beverly, NJ 08010",5, Gasoline,28,36, FWD, 1.6L I4 16V MPFI DOHC, Black, Black, 6-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']",['Stability Control'],"$5,995"
334, 2019 Ford Fiesta SE,"38,615","Warminster, PA 18974",3.9, Gasoline,27,35, FWD, 1.6L I4 16V MPFI DOHC, Oxford White, Charcoal Black, 5-Speed Manual,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$12,177"
335,Certified 2019 Kia Sorento LX,"24,991","Burlington, NJ 08016",4.5, Gasoline,21,26, AWD, 2.4L I4 16V GDI DOHC, Snow White Pearl, Stone Beige, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$21,971"
336,Certified 2017 RAM 1500 Laramie,"69,575","Newtown Square, PA 19073",4.7, Gasoline,16,23, 4WD, 5.7L V8 16V MPFI OHV, Bright White Clearcoat, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$33,977"
