,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
262, 2016 Honda Civic Touring,"102,768","Roseville, CA 95661",4.4, Gasoline,31,42, FWD, 1.5L I4 16V GDI DOHC Turbo, White,-1, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$15,999"
263, 2019 Chevrolet Camaro 1LT,"35,690","Roseville, CA 95661",3, Gasoline,20,30, RWD, 3.6L V6 GDI DOHC, Silver Ice Metallic, Jet Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$25,999"
264, 2019 Mercedes-Benz E 450,"30,206","Roseville, CA 95661",4.8, Gasoline,20,27, RWD, 3.0L V6 24V GDI DOHC Twin Turbo, Obsidian Black Metallic,-1, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$62,955"
265, 2018 BMW X5 eDrive xDrive40e,"28,136","Roseville, CA 95661",4.7, Hybrid,-1,-1, AWD, 2.0L I4 16V GDI DOHC Turbo Hybrid, Carbon Black Metallic,-1, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning']","$37,995"
266, 2018 Subaru Crosstrek 2.0i Premium,"20,860","Roseville, CA 95661",4.8, Gasoline,27,33, AWD, 2.0L H4 16V GDI DOHC, Quartz Blue Pearl, Gray, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$22,495"
267, 2019 Nissan Armada SV,"37,165","Roseville, CA 95661",4.7, Gasoline,14,19, RWD, 5.6L V8 32V GDI DOHC, Hermosa Blue,-1, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$30,898"
268, 2018 Chevrolet Equinox 1LT,"36,828","Roseville, CA 95661",4.4, Gasoline,26,32, FWD, 1.5L I4 16V GDI DOHC Turbo, Gray,-1, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$20,999"
269, 2011 Volkswagen Routan SE,"107,424","Roseville, CA 95661",4.8, E85 Flex Fuel,17,25, FWD, 3.6L V6 24V MPFI DOHC Flexible Fuel, Twilight Gray Metallic,-1, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$7,982"
270, 2018 Nissan Leaf SL,"27,569","Roseville, CA 95661",2.7, Electric,125,100, FWD, Electric, Silver, Black, 1-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$19,998"
271,Certified 2018 Honda Civic LX,"54,679","Roseville, CA 95661",4.8, Gasoline,31,40, FWD, 2.0L I4 16V MPFI DOHC, Taffeta White,-1, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$15,991"
272, 2012 RAM 1500 ST,"134,639","Roseville, CA 95661",4.7, Gasoline,14,20, RWD, 5.7L V8 16V MPFI OHV, Bright White, Espresso, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$17,755"
273, 2015 Toyota Tacoma 5 FT,"33,112","Sacramento, CA 95823",4.2, Gasoline,19,24, RWD, 2.7L I4 16V MPFI DOHC, Silver,-1, 4-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$29,999"
274, 2018 BMW X1 xDrive28i,"29,855","Sacramento, CA 95828",5, Gasoline,22,31, AWD, 2.0L I4 16V GDI DOHC Turbo, Black, Tan, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$26,998"
275, 2019 Nissan Murano Platinum,"3,149","Sacramento, CA 95828",5, Gasoline,20,28, FWD, 3.5L V6 24V MPFI DOHC, Black, Cashmere, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$34,998"
276, 2011 Dodge Ram 1500 BIG HORN,"87,836","Elk Grove, CA 95757",4.6, Gasoline,14,-1, RWD, 5.7L V8 16V MPFI OHV, Bright Silver Metallic, Dark Slate / Medium Greystone, Automatic,-1,"['Brake Assist', 'Stability Control']","$20,988"
277, 2017 Mercedes-Benz CLA 250 Base,"44,812","Davis, CA 95616",4.2, E85 Flex Fuel,24,36, FWD, 2.0L I4 16V GDI DOHC Turbo Flexible Fuel, Black, Black, 7-Speed Automatic with Auto-Shift,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$21,999"
278, 2019 Toyota Tacoma TRD Off Road,"5,740","Auburn, CA 95603",4.9, Gasoline,17,20, 4WD, 3.5L V6 24V PDI DOHC, Magnetic Gray Metallic, Graphite, 6-Speed Manual,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$38,977"
279, 2020 Ford F-250 XLT,"29,393","Woodland, CA 95695",4.8, Diesel,-1,-1, 4WD, 6.7L V8 32V DDI OHV Turbo Diesel, Iconic Silver Metallic,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$58,000"
280, 2017 Chevrolet Colorado LT,"29,993","Lodi, CA 95240",3.8, Gasoline,20,26, RWD, 3.6L V6 24V GDI DOHC, Red,-1, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Stability Control']","$28,991"
281, 2018 Volkswagen Atlas 3.6L SE w/Technology,"47,524","Vacaville, CA 95687",2.5, Gasoline,18,25, FWD, 3.6L V6 24V GDI DOHC, Reflex Silver Metallic, Titan Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$24,911"
282, 2018 Ford Fusion SE,"31,801","Vacaville, CA 95687",2.5, Gasoline,21,32, FWD, 1.5L I4 16V GDI DOHC Turbo, Shadow Black, Ebony, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,189"
283, 2017 Chevrolet Malibu 1LT,"80,932","Vacaville, CA 95687",2.5, Gasoline,27,36, FWD, 1.5L I4 16V GDI DOHC Turbo, Silver Ice Metallic, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$13,865"
284, 2019 RAM 2500 Tradesman,"12,508","Vacaville, CA 95687",3.7, Gasoline,-1,-1, RWD, 6.4L V8 16V MPFI OHV, Bright White Clearcoat, Diesel Gray / Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$41,981"
285, 2019 Ford Transit-250 Base,"16,826","Vacaville, CA 95687",2.5, E85 Flex Fuel,-1,-1, RWD, 3.7L V6 24V MPFI DOHC, Oxford White, Charcoal Black, 6-Speed Automatic,-1,"['Backup Camera', 'Brake Assist', 'Stability Control']","$32,905"
286, 2020 Chevrolet Silverado 2500 High Country,"22,357","Vacaville, CA 95687",3.5, Diesel,-1,-1, 4WD, 6.6L V8 32V DDI OHV Turbo Diesel, Summit White, Jet Black, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$76,995"
