,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
545, 2014 Mercedes-Benz E 350 4MATIC,"72,314","Portland, OR 97267",4.1, Gasoline,21,29, AWD, 3.5L V6 24V GDI DOHC, Polar White, Black, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$19,995"
546, 2019 Toyota Sienna SE,"18,396","Vancouver, WA 98662",4.9, Gasoline,19,27, FWD, 3.5L V6 24V PDI DOHC, Celestial Silver Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$36,299"
547, 2018 Nissan Sentra SV,"38,842","Gladstone, OR 97027",2.5, Gasoline,29,37, FWD, 1.8L I4 16V MPFI DOHC, Gray, Charcoal, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$12,990"
548, 2018 Jeep Cherokee Latitude Plus,"42,276","Vancouver, WA 98662",4.5, Gasoline,21,28, 4WD, 2.4L I4 16V MPFI SOHC, Granite Crystal Clearcoat Metallic, Black, 9-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$21,288"
549, 2020 Volkswagen Jetta 1.4T S,"14,192","Vancouver, WA 98662",4.9, Gasoline,30,40, FWD, 1.4L I4 16V GDI DOHC Turbo, Pure White, Titan Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$19,797"
550, 2021 Mazda Mazda3 FWD w/Preferred Package,6,"Vancouver, WA 98661",4.4, Gasoline,26,35, FWD, 2.5L I4 16V, Soul Red Crystal Metallic, Black / Navy Blue, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,172"
551, 2019 Subaru Outback 3.6R Limited,"22,646","Oregon City, OR 97045",4.8, Gasoline,20,27, AWD, 3.6L H6 24V MPFI DOHC, Crimson Red Pearl, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$29,891"
552, 2015 Kia Sorento LX,"67,202","Oregon City, OR 97045",4.8, Gasoline,19,25, AWD, 2.4L I4 16V GDI DOHC, Snow White, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,987"
553, 2015 Hyundai Azera Base,"48,999","Washougal, WA 98671",4.8, Gasoline,20,29, FWD, 3.3L V6 24V GDI DOHC, Diamond White Pearl, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$14,750"
554,Certified 2020 Maserati Ghibli S Q4 GranSport,"4,231","Wilsonville, OR 97070",4.8, Gasoline,16,24, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Blu Emozione Mica, Rosso, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$79,995"
