,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
129, 2019 Land Rover Range Rover Sport HST MHEV,"18,484","San Diego, CA 92111",5, Gasoline,19,25, 4WD, 3.0L I6 24V GDI DOHC, Carpathian Grey, Ebony/Ebony/Ebony/Ebony, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$74,999"
130,Certified 2018 BMW 330 i xDrive,"40,472","San Diego, CA 92111",4.6, Gasoline,23,33, AWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White, Black / Dark Oyster, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$35,750"
131, 2012 Audi A6 3.0T Premium Plus quattro,"80,468","San Diego, CA 92111",4.6, Gasoline,19,28, AWD, 3.0L V6 24V GDI DOHC Supercharged, Brilliant Black, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$16,795"
132,Certified 2018 BMW X1 sDrive28i,"47,467","San Diego, CA 92111",4.6, Gasoline,23,32, FWD, 2.0L I4 16V GDI DOHC Turbo, Black Sapphire Metallic, Beige, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$25,000"
133,Certified 2018 BMW X3 M40i,"20,901","San Diego, CA 92111",4.6, Gasoline,20,27, AWD, 3.0L I6 24V GDI DOHC Turbo, Glacier Silver Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$45,750"
134,Certified 2018 BMW X5 xDrive35i,"34,160","San Diego, CA 92111",4.6, Gasoline,18,24, AWD, 3.0L I6 24V GDI DOHC Turbo, Dark Graphite Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$45,995"
135,Certified 2018 BMW X5 xDrive35i,"35,607","San Diego, CA 92111",4.6, Gasoline,18,24, AWD, 3.0L I6 24V GDI DOHC Turbo, Imperial Blue Metallic, Terra, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$47,995"
136,Certified 2018 BMW X1 sDrive28i,"27,200","San Diego, CA 92111",4.6, Gasoline,23,32, FWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$28,500"
137,Certified 2018 BMW 328d Base,"45,821","San Diego, CA 92111",4.6, Diesel,31,43, RWD, 2.0L I4 16V DDI DOHC Turbo Diesel, Alpine White, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$26,500"
138, 2018 Volkswagen Atlas 3.6L SEL,"29,116","San Diego, CA 92111",4.6, Gasoline,18,25, FWD, 3.6L V6 24V GDI DOHC, Tourmaline Blue Metallic, Titan Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$29,500"
