,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2020 Mazda CX-5 Grand Touring,"8,200","Olympia, WA 98502",3.4, Gasoline,24,30, AWD, 2.5L I4 16V GDI DOHC, Machine Gray Metallic, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$31,900"
1, 2013 Chevrolet Equinox LTZ,"63,999","Olympia, WA 98502",4.8, Gasoline,20,29, FWD, 2.4L I4 16V GDI DOHC, Champagne Silver, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$14,947"
2, 2020 Nissan Leaf S,"10,917","Olympia, WA 98502",4.8, Electric,123,99, FWD, Electric, Deep Blue Pearl, Black, 1-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$24,788"
3, 2006 Chevrolet Cobalt LS,"143,680","Roy, WA 98580",3.6, Gasoline,25,34, FWD, 2.2L I4 16V MPFI DOHC, Gold, Tan, 4-Speed Automatic,['Premium Sound System'],-1,"$3,495"
4, 2019 Chevrolet Equinox Premier w/1LZ,"25,191","McKenna, WA 98580",4.2, Gasoline,25,30, AWD, 1.5L I4 16V GDI DOHC Turbo, Cajun Red Tintcoat, Medium Ash Gray, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$29,983"
5, 2006 Subaru Outback 2.5i,"102,749","Roy, WA 98580",3.6, Gasoline,22,28, AWD, 2.5L H4 16V MPFI SOHC, Silver, Dark Gray, 4-Speed Automatic,-1,-1,"$8,995"
6, 2019 GMC Yukon XL Denali,"41,853","Chehalis, WA 98532",5, Gasoline,14,20, 4WD, 6.2L V8 16V GDI OHV, Dark Sapphire Blue Metallic, Jet Black, 10-Speed Automatic,-1,-1,"$61,993"
7, 2017 Chevrolet Tahoe LT,"57,026","Tacoma, WA 98498",3.6, E85 Flex Fuel,16,23, 4WD, Gas/Ethanol V8 5.3L/325, Silver Ice Metallic, Jet Black, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Lane Departure Warning']","$38,080"
8, 2017 Land Rover Discovery HSE,"30,360","Tacoma, WA 98498",3.6, Gasoline,16,21, 4WD, Intercooled Supercharger Premium Unleaded V-6 3.0 L/183, Black,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Stability Control']","$39,799"
9, 2018 Mercedes-Benz CLA 250 Base,"34,008","Tacoma, WA 98498",3.6, Gasoline,24,37, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar Silver Metallic,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$24,299"
10, 2016 Dodge Challenger R/T,"16,382","Tacoma, WA 98498",3.6, Gasoline,15,23, RWD, Regular Unleaded V-8 5.7 L/345, Maximum Steel Metallic Clearcoat, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$28,390"
