,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
363, 2015 RAM 3500 Tradesman,"76,843","Bremerton, WA 98312",5, Gasoline,-1,-1, 4WD, 5.7L V8 16V MPFI OHV, White, Gray, 6-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$35,999"
364, 2018 Ford Fusion Platinum,"35,329","Port Orchard, WA 98366",4.3, Gasoline,21,31, FWD, 2.0L I4 16V GDI DOHC Turbo, White Platinum, Medium Soft Ceramic, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$20,881"
365, 2013 Ford Explorer Base,"110,391","Bremerton, WA 98312",5, Gasoline,17,23, 4WD, 3.5L V6 24V MPFI DOHC, White, Tan, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']",['Stability Control'],"$14,999"
366, 2015 Honda Civic LX,"27,939","Auburn, WA 98001",5, Gasoline,30,39, FWD, 1.8L I4 16V MPFI SOHC, Gray, Gray, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$13,900"
367, 2020 Kia Sportage LX,"24,869","Auburn, WA 98002",4.4, Gasoline,22,26, AWD, 2.4L I4 16V GDI DOHC, Steel Gray, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$20,858"
368, 2015 RAM 2500 ST,"47,430","Auburn, WA 98002",4.1, Gasoline,-1,-1, 4WD, 5.7 L, Bright White Clearcoat, Diesel Gray/Black, Automatic,-1,"['Brake Assist', 'Stability Control']","$33,998"
369, 2018 Toyota Camry Hybrid LE,"41,798","Burien, WA 98168",4.9, Hybrid,51,53, FWD, 2.5L I4 16V PDI DOHC Hybrid, Gray, Gray, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$24,991"
370, 2018 Toyota Sienna LE,"64,147","Burien, WA 98168",4.9, Gasoline,19,27, FWD, 3.5L V6 24V GDI DOHC, Blue, Gray, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$26,991"
371, 2016 Chevrolet Equinox LS,"89,963","Burien, WA 98168",4.9, Gasoline,20,29, AWD, 2.4L I4 16V GDI DOHC, Blue, Gray, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$16,991"
372, 2017 Chevrolet Cruze LT,"60,531","Burien, WA 98168",4.8, Gasoline,30,40, FWD, 1.4L I4 16V GDI DOHC Turbo, Summit White, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$14,998"
373, 2019 Dodge Durango GT,"29,813","Burien, WA 98168",4.9, Gasoline,18,25, AWD, 3.6L V6 24V MPFI DOHC, Black, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$36,991"
374, 2014 Ford F-150 FX4,"89,749","Burien, WA 98168",4.9, Gasoline,14,19, 4WD, 3.5L V6 24V GDI DOHC Twin Turbo, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Stability Control']","$35,991"
375, 2019 Chevrolet Cruze LT,"78,674","Seattle, WA 98168",4.6, Gasoline,28,38, FWD, 1.4L I4 16V GDI DOHC Turbo, Summit White, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$13,282"
