,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2021 Volkswagen Jetta 1.4T S,13,"Olympia, WA 98502",4.8, Gasoline,30,41, FWD, 1.4L I4 16V GDI DOHC Turbo, Pyrite Silver Metallic, Titan Black, 6-Speed Manual,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$17,270"
1, 2021 Nissan Rogue SV,5,"Olympia, WA 98502",4.8, Gasoline,25,32, AWD, 2.5L I4 16V GDI DOHC, Black, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning']","$30,070"
2, 2021 Nissan Rogue SV,1,"Olympia, WA 98502",4.8, Gasoline,25,32, AWD, 2.5L I4 16V GDI DOHC, Black, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning']","$30,070"
3, 2019 Jeep Grand Cherokee Limited,"29,434","Olympia, WA 98502",4.1, Gasoline,18,25, 4WD, 3.6L V6 24V MPFI DOHC, Billet Silver Metallic Clearcoat, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$33,998"
4, 2017 Volkswagen Golf Alltrack TSI SE,"29,581","Olympia, WA 98502",4.3, Gasoline,22,30, AWD, 1.8L I4 16V GDI DOHC Turbo, Platinum Gray Metallic, Titan Black, 6-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$21,123"
5, 2020 Ford Mustang GT Premium,3,"Olympia, WA 98502",4.3, Gasoline,15,24, RWD, 5.0L V8 32V PDI DOHC, Shadow Black, Ebony, 10-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$48,304"
6, 2021 Ford EcoSport SES,29,"Olympia, WA 98502",4.3, Gasoline,23,29, 4WD, 2.0L I4 16V GDI DOHC, Lightning Blue, Ebony Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$22,929"
7, 2009 Nissan Xterra S,"171,026","Roy, WA 98580",3.6, Gasoline,15,20, 4WD, 4.0L V6 24V MPFI DOHC, Silver Lightning, Black, 5-Speed Automatic,-1,['Stability Control'],"$8,995"
8, 2017 RAM 1500 Longhorn,"42,509","McKenna, WA 98580",4.2, Gasoline,15,21, 4WD, 5.7L V8 16V MPFI OHV, Pearl White, Brown, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$43,967"
9, 2020 GMC Sierra 3500 SLE,"8,772","McKenna, WA 98580",4.2, Gasoline,-1,-1, 4WD, 6.6L V8 16V GDI OHV, Summit White, Jet Black, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$58,968"
10, 2018 Dodge Journey GT,"37,447","Tacoma, WA 98498",3.6, Gasoline,16,24, AWD, Regular Unleaded V-6 3.6 L/220, Vice White, Black/Red, Automatic,['Premium Sound System'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$19,280"
11, 2019 Kia Sportage SX Turbo,"25,390","Tacoma, WA 98498",3.6, Gasoline,21,26, AWD, Intercooled Turbo Regular Unleaded I-4 2.0 L/122, Snow White Pearl, Black, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$24,899"
12, 2018 Honda Accord EX-L 2.0T,"23,904","Tacoma, WA 98498",3.6, Gasoline,23,34, FWD, Intercooled Turbo Regular Unleaded I-4 2.0 L/122, Platinum White Pearl,-1, Automatic,['Premium Sound System'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$24,199"
13, 2018 Ford F-150 XLT,"36,485","Tacoma, WA 98498",3.6, Gasoline,16,22, 4WD, Ecoboost 3.5L V6, Black,-1, Automatic,-1,"['Backup Camera', 'Stability Control']","$38,899"
14, 2017 Cadillac CTS 2.0L Turbo Luxury,"93,697","Tacoma, WA 98498",3.6, Gasoline,22,30, AWD, Turbocharged Gas I4 2.0L/122, Phantom Gray Metallic, Jet Black with Jet Black Accents, Automatic,"['Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$20,094"
15, 2021 Jeep Compass Latitude,8,"Chehalis, WA 98532",4.7, Gasoline,22,30, 4WD, 2.4L I4 16V MPFI SOHC, Velvet Red Pearlcoat, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$29,090"
16, 2018 BMW 430 Gran Coupe i,"31,061","Tacoma, WA 98498",3.6, Gasoline,24,34, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Black,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Stability Control']","$27,499"
